Date,Open,High,Low,Close,Volume
12/30/2011,642.02,646.76,642.02,645.9,3561000
12/29/2011,641.49,643,635.2,642.4,3147600
12/28/2011,642.75,645,638.1,639.7,4250100
12/27/2011,632.05,644.49,632,640.25,3209500
12/23/2011,632,634.68,630.56,633.14,2904400
12/22/2011,627.95,631.73,627.01,629.7,3640900
12/21/2011,630.01,631.82,618.96,625.82,4990800
12/20/2011,628,631.84,627.99,630.37,4771600
12/19/2011,628.01,628.5,620,621.83,4282700
12/16/2011,624.32,629.32,621.47,625.96,8909600
12/15/2011,622.52,624,618.69,619.54,4812300
12/14/2011,621.85,624.32,612.49,618.07,7799500
12/13/2011,628.76,636.56,622.85,625.63,8048300
12/12/2011,621.88,626.18,620.29,625.39,4363400
12/09/2011,618,629.13,617.01,627.42,5526800
12/08/2011,621.04,627.45,615.3,616.05,4821300
12/07/2011,621.68,625.66,618.1,623.39,4510000
12/06/2011,622.99,628.62,620.24,623.77,4648300
12/05/2011,627.64,631.9,622.4,625.65,6388600
12/02/2011,617.05,624,616.26,620.36,8163200
12/01/2011,600,616,599,613.77,7233900
11/30/2011,597.95,599.51,592.09,599.39,6787200
11/29/2011,587.88,590.36,581.33,582.93,3659900
11/28/2011,579.37,588.82,576.5,588.19,5652100
11/25/2011,565.19,574.27,561.33,563,3121600
11/23/2011,575.35,580.25,570.11,570.11,4646900
11/22/2011,580,584.97,575.24,580,4805700
11/21/2011,587.76,588.5,572.09,580.94,5996500
11/18/2011,602,604.5,593.75,594.88,6568800
11/17/2011,610.05,612.29,596.78,600.87,6979600
11/16/2011,612.08,618.3,610.61,611.47,5211700
11/15/2011,612.8,618.08,610.5,616.56,5346600
11/14/2011,608,618.08,607.78,613,6371000
11/11/2011,601.3,612.09,598.6,608.35,7946000
11/10/2011,605.93,605.95,591.56,595.08,5731000
11/09/2011,604.26,609.39,598.66,600.95,7414500
11/08/2011,609,614.37,603.6,612.34,6052700
11/07/2011,593.32,608.78,592.23,608.33,6708000
11/04/2011,593.5,599.74,592.43,596.14,5663900
11/03/2011,587,597.5,583.72,597.5,5334200
11/02/2011,584.9,587.96,580.48,584.82,4237500
11/01/2011,580.1,585.51,576.75,578.65,6243900
10/31/2011,595.09,599.69,591.67,592.64,5110400
10/28/2011,594.52,602.3,594.25,600.14,5010900
10/27/2011,598.42,602.7,593.3,598.67,7553000
10/26/2011,589.55,590.18,572.86,586.31,5740400
10/25/2011,593.1,595,582.85,583.16,5075900
10/24/2011,586.72,599.97,586.5,596.42,6846900
10/21/2011,589.51,592.75,586.7,590.49,6775200
10/20/2011,581.9,588.89,579.51,583.67,6751200
10/19/2011,587.34,592.06,579.22,580.7,5857100
10/18/2011,580.19,592.56,577.4,590.51,7593900
10/17/2011,583.72,591.83,578,582.41,8008300
10/14/2011,599.47,599.6,587.57,591.68,17042700
10/13/2011,550.03,559,548.02,558.99,11363800
10/12/2011,548.13,555.23,544.63,548.5,6349200
10/11/2011,533.46,546.8,533.46,543.18,5701000
10/10/2011,525.18,537.47,523.2,537.17,4639700
10/07/2011,516.83,520.5,510.3,515.12,5706000
10/06/2011,507.5,515.23,502.6,514.71,6841700
10/05/2011,496.35,507.8,480.77,504.7,9059100
10/04/2011,490.03,503.44,480.6,501.9,8309200
10/03/2011,509.85,512,495,495.52,8939800
09/30/2011,520.21,524,514.38,515.04,5441700
09/29/2011,536.04,537.3,519.41,527.5,5807300
09/28/2011,541.5,544.02,527.7,528.84,4522000
09/27/2011,538.2,547.05,536.05,539.34,6015700
09/26/2011,527.25,532.93,513.25,531.89,5263100
09/23/2011,516.56,526.42,514.5,525.51,5549000
09/22/2011,526.25,528.78,514,520.66,8791700
09/21/2011,547.69,555,538.86,539.2,5023500
09/20/2011,549.4,558.52,542.67,546.63,5552600
09/19/2011,540.35,549.9,535.38,546.67,4931800
09/16/2011,544.8,546.84,543.14,546.68,7061500
09/15/2011,535.5,544.98,534.56,542.56,5915600
09/14/2011,532.59,536.95,525.82,532.07,5383400
09/13/2011,532,533.88,523.4,529.52,4703600
09/12/2011,517.96,531.99,517.5,530.12,5335400
09/09/2011,531.4,534.65,521.19,524.85,6531000
09/08/2011,533.8,539.1,531.9,534.96,4756200
09/07/2011,530.45,535.94,527.4,534.03,5506000
09/06/2011,510.8,522.76,510.5,522.18,5426100
09/02/2011,524.47,527.92,520.73,524.84,4797500
09/01/2011,540.75,543.83,531.22,532.5,4826100
08/31/2011,544.74,546.3,536,540.96,5381200
08/30/2011,538.19,542.99,530.81,540.7,5972000
08/29/2011,534.56,539.45,533.56,539.08,4666900
08/26/2011,519.99,530.45,513.14,526.86,7185400
08/25/2011,530.38,537.27,518.3,520.04,6579400
08/24/2011,519.33,530,517.23,523.29,7181800
08/23/2011,503.5,521.41,499.06,518.82,8684900
08/22/2011,504,507,494.53,498.17,9801900
08/19/2011,499.34,514.87,490.86,490.92,10809100
08/18/2011,523.47,524.89,500.49,504.88,12568800
08/17/2011,540.03,543.69,530.77,533.15,8150000
08/16/2011,552.43,552.44,530.3,539,13864900
08/15/2011,553.43,564.99,546.05,557.23,14275500
08/12/2011,569.5,570.5,560.4,563.77,6302200
08/11/2011,553.82,568.5,548.41,562.13,9651500
08/10/2011,561.38,564.12,547.73,549.01,10728400
08/09/2011,561,574.61,541.01,573.41,12926400
08/08/2011,562.98,569,544.35,546.02,14978200
08/05/2011,582.54,590,562,579.04,11846300
08/04/2011,594.5,598.85,577.47,577.52,9819300
08/03/2011,594.27,603,583.63,601.17,7643700
08/02/2011,606,609.67,591.57,592.4,6394700
08/01/2011,611.22,615.5,599.18,606.77,7924200
07/29/2011,604.23,614.96,603.69,603.69,8266500
07/28/2011,605.19,615.98,603,610.94,6210500
07/27/2011,617.18,620.95,604.75,607.22,7860900
07/26/2011,618.05,627.5,617.22,622.52,4681100
07/25/2011,613.36,625.41,613,618.98,6256900
07/22/2011,605.39,619.5,604.27,618.23,7049300
07/21/2011,594.03,608.06,594.01,606.99,6932000
07/20/2011,602.18,602.83,595.35,595.35,4451100
07/19/2011,596.14,604.68,595.53,602.55,5929000
07/18/2011,592.49,602.05,592,594.94,8927600
07/15/2011,597.5,600.25,588.16,597.62,27436700
07/14/2011,539.12,542,526.73,528.94,13285700
07/13/2011,537,544,536.48,538.26,5574800
07/12/2011,528.16,539.42,526,534.01,5676700
07/11/2011,528.18,535.98,525.5,527.28,5672900
07/08/2011,532.95,537.65,527.27,531.99,9530800
07/07/2011,541,550.68,535.88,546.6,7863100
07/06/2011,533.5,538.51,533.04,535.36,5385800
07/05/2011,525.3,535.4,525.3,532.44,7690700
07/01/2011,506.74,521.18,506.38,521.03,7266100
06/30/2011,501.99,506.67,501.5,506.38,4851900
06/29/2011,496.54,500.25,492.38,497.57,4681300
06/28/2011,484.02,496.21,484.02,493.65,5424700
06/27/2011,474,488.4,473.6,482.8,6882500
06/24/2011,480.68,480.75,473.02,474.88,7603500
06/23/2011,482.13,482.86,473.73,480.22,9593700
06/22/2011,491.45,492.35,486.73,487.01,4809300
06/21/2011,487.19,493.94,484.73,493,5525200
06/20/2011,485,486.23,479.23,484.58,6051100
06/17/2011,506.18,506.69,484.8,485.02,10480300
06/16/2011,502.81,506.57,496.67,500.37,5508400
06/15/2011,505.03,508.35,500.61,502.95,4142400
06/14/2011,508.15,514.08,506.99,508.37,4678300
06/13/2011,510,510.2,502.17,504.73,4849700
06/10/2011,514.08,516.69,509.29,509.51,4874900
06/09/2011,520,520,515.64,516.73,3374800
06/08/2011,516.53,521.24,515.78,519.17,3303400
06/07/2011,522.89,524.63,518.99,519.03,3811300
06/06/2011,523.54,526.82,519.25,521.06,3880300
06/03/2011,522,527.6,521.5,523.08,3493500
06/02/2011,527.57,530.3,522.48,528.06,4404500
06/01/2011,528.04,533.2,525.31,525.6,5905800
05/31/2011,525,529.05,523.5,529.02,5369200
05/27/2011,518.48,521.79,516.3,520.9,3488100
05/26/2011,517.7,522.12,515,518.13,4232700
05/25/2011,517.33,522.77,517.25,519.67,2600500
05/24/2011,520.37,523.96,518.15,518.26,3796200
05/23/2011,516.6,520,513.4,518.39,4595400
05/20/2011,531.8,531.99,523.13,524.03,4630300
05/19/2011,532.73,536.54,529.72,531.25,4932400
05/18/2011,529.54,530.33,525.7,529.81,3902400
05/17/2011,515.43,531.22,515.03,530.46,6600500
05/16/2011,526.31,527.27,516.4,518.42,5910400
05/13/2011,534.61,535.92,529.05,529.55,4213100
05/12/2011,535.24,536.94,530.91,535.05,2893700
05/11/2011,540.14,543.55,533.69,535.45,4672900
05/10/2011,540,544.43,537.54,542.66,4081700
05/09/2011,535,538.49,531.1,537.68,3893500
05/06/2011,538.15,541.46,535.18,535.3,4108000
05/05/2011,533.86,539.42,531.5,534.27,3991600
05/04/2011,535.17,539,533.02,535.79,4229700
05/03/2011,537.13,542.01,529.63,533.89,4158800
05/02/2011,545.7,545.73,537.12,538.56,4263100
04/29/2011,540,544.1,538.51,544.1,8448500
04/28/2011,538.06,539.25,534.08,537.97,3996000
04/27/2011,538,538.11,534.35,537.76,4592200
04/26/2011,526.52,537.44,525.21,532.82,6993000
04/25/2011,525.25,527,522.01,525.05,3258300
04/21/2011,527.49,528.28,522.39,525.1,4935200
04/20/2011,525.9,526.82,521.39,525.73,6113800
04/19/2011,529.95,530.88,520.9,521.53,5362800
04/18/2011,526.42,527.66,519,526.84,10069500
04/15/2011,545.29,545.75,530.06,530.7,28059300
04/14/2011,575.19,579.45,572.1,578.51,10901600
04/13/2011,575.51,577.6,571.75,576.28,4134600
04/12/2011,575,576.91,568.05,570.61,4167000
04/11/2011,576.2,578.1,573,577.37,3712600
04/08/2011,584.89,584.89,578.06,578.16,3799700
04/07/2011,575.73,580.64,574.19,580,5057900
04/06/2011,572.18,575.16,568,574.18,5331200
04/05/2011,581.08,581.49,565.68,569.09,12082900
04/04/2011,593,594.74,583.1,587.68,4104800
04/01/2011,588.76,595.19,588.76,591.8,5221100
03/31/2011,583,588.16,581.74,586.76,4054700
03/30/2011,584.38,585.5,580.58,581.84,2841700
03/29/2011,576,581.89,573.01,581.73,3206300
03/28/2011,582.07,584.99,574.71,575.36,4432300
03/25/2011,586.88,586.91,579.24,579.74,5711000
03/24/2011,585.43,588.39,578.8,586.89,4193200
03/23/2011,575.19,582.45,572,582.16,3628700
03/22/2011,577.27,579.23,572.51,577.32,3770000
03/21/2011,570.22,579.8,569.02,576.5,6035700
03/18/2011,564.64,567.99,559.74,561.06,6590600
03/17/2011,564.48,569,560.54,561.36,5792800
03/16/2011,568.01,569.79,551.28,557.1,7589400
03/15/2011,557.5,571,555.5,569.56,8003100
03/14/2011,572.8,578.29,568.02,569.99,5626500
03/11/2011,578.22,580,573.33,576.71,6057900
03/10/2011,585.44,586.62,579.45,580.3,6249900
03/09/2011,591,594.51,585.75,591.77,4297600
03/08/2011,592.93,597.98,590.2,592.31,4565200
03/07/2011,600.55,603.69,587,591.66,6918400
03/04/2011,608.33,608.98,600.2,600.62,6015900
03/03/2011,606.38,611.49,605,609.56,3886700
03/02/2011,599.8,606,595.19,600.79,4049300
03/01/2011,617.78,619.22,599.3,600.76,6639700
02/28/2011,610,616.49,608.01,613.4,4558400
02/25/2011,611.86,614.72,609.5,610.04,3860900
02/24/2011,611.39,613.09,601.35,608.82,5417900
02/23/2011,610.33,614.7,604,611.32,5773400
02/22/2011,620.03,624.93,607.77,610.21,7272500
02/18/2011,626,631.18,624.18,630.08,6429300
02/17/2011,621.25,627.25,620.28,625.26,2954600
02/16/2011,625.63,626.5,622.1,624.22,3364600
02/15/2011,627.32,630.09,623.1,624.15,4179800
02/14/2011,623.34,629.64,620.04,628.15,4251700
02/11/2011,613.79,625,613,624.5,5174600
02/10/2011,613.9,617.5,611.56,616.44,4664100
02/09/2011,616.87,619.45,612.34,616.5,3681300
02/08/2011,614.93,619.63,614.51,618.38,3386400
02/07/2011,610.16,618.39,609.21,614.29,3595600
02/04/2011,610.15,611.44,606.61,610.98,3098400
02/03/2011,609.48,611.45,606.13,610.15,2987200
02/02/2011,611,614.34,607.53,612,3517800
02/01/2011,604.49,613.35,603.11,611.04,5485100
01/31/2011,603.6,604.47,595.55,600.36,5604100
01/28/2011,619.07,620.36,599.76,600.99,8453700
01/27/2011,617.89,619.7,613.25,616.79,4034300
01/26/2011,620.33,622.49,615.28,616.5,4072100
01/25/2011,608.2,620.69,606.52,619.91,7286300
01/24/2011,607.57,612.49,601.23,611.08,9189200
01/21/2011,639.58,641.73,611.36,611.83,17790900
01/20/2011,632.21,634.08,623.29,626.77,10960600
01/19/2011,642.12,642.96,629.66,631.75,6805300
01/18/2011,626.06,641.99,625.27,639.63,7226700
01/14/2011,617.4,624.27,617.08,624.18,4726400
01/13/2011,616.97,619.67,614.16,616.69,2665300
01/12/2011,619.35,619.35,614.77,616.87,3262100
01/11/2011,617.71,618.8,614.5,616.01,2875700
01/10/2011,614.8,615.39,608.56,614.21,3155200
01/07/2011,615.91,618.25,610.13,616.44,4198100
01/06/2011,610.68,618.43,610.05,613.5,4111400
01/05/2011,600.07,610.33,600.05,609.07,5059500
01/04/2011,605.62,606.18,600.12,602.12,3645300
01/03/2011,596.48,605.59,596.48,604.35,4725600
12/31/2010,596.74,598.42,592.03,593.97,3075500
12/30/2010,598,601.33,597.39,598.86,1977000
12/29/2010,602,602.41,598.92,601,2036300
12/28/2010,602.05,603.87,598.01,598.92,2127400
12/27/2010,602.74,603.78,599.5,602.38,2413700
12/23/2010,605.34,606,602.03,604.23,2219300
12/22/2010,604,607,603.28,605.49,2412500
12/21/2010,598.57,604.72,597.61,603.07,3755200
12/20/2010,594.65,597.88,588.66,595.06,3942600
12/17/2010,591,592.56,587.67,590.8,6168000
12/16/2010,592.85,593.77,588.07,591.71,3190600
12/15/2010,594.2,596.45,589.15,590.3,4331000
12/14/2010,597.09,598.29,592.48,594.91,3283300
12/13/2010,597.12,603,594.09,594.62,4792200
12/10/2010,593.14,593.99,590.29,592.21,3405900
12/09/2010,593.88,595.58,589,591.5,3734000
12/08/2010,591.97,592.52,583.69,590.54,3510200
12/07/2010,591.27,593,586,587.14,6078300
12/06/2010,580.57,582,576.61,578.36,4183400
12/03/2010,569.45,576.48,568,573,5257100
12/02/2010,568.66,573.33,565.35,571.82,5090700
12/01/2010,563,571.57,562.4,564.35,7500600
11/30/2010,574.32,574.32,553.31,555.71,14220500
11/29/2010,589.17,589.8,579.95,582.11,5713600
11/26/2010,590.46,592.98,587,590,2619500
11/24/2010,587.31,596.6,587.05,594.97,4788000
11/23/2010,587.01,589.01,578.2,583.01,4320800
11/22/2010,587.47,593.44,582.75,591.22,4368800
11/19/2010,597,597.89,590.34,590.83,4590400
11/18/2010,589,599.98,588.56,596.56,5174800
11/17/2010,585,589.5,581.37,583.55,4880100
11/16/2010,592.76,597.89,583.45,583.72,6608100
11/15/2010,603.08,604,594.05,595.47,6950800
11/12/2010,613.99,616.9,601.21,603.29,6779200
11/11/2010,619.7,619.85,614.21,617.19,4518600
11/10/2010,622.08,623,617.51,622.88,4989000
11/09/2010,630,630.85,620.51,624.82,4469900
11/08/2010,624.02,629.49,623.13,626.77,4198300
11/05/2010,623.18,625.49,621.11,625.08,3527800
11/04/2010,624.64,629.92,622.1,624.27,7134400
11/03/2010,617.5,621.83,613.5,620.18,6754200
11/02/2010,618.67,620,614.58,615.6,3991200
11/01/2010,615.73,620.66,611.21,615,6168000
10/29/2010,617.07,619,612.99,613.7,4552000
10/28/2010,620.05,621,613.3,618.58,4364200
10/27/2010,615.77,620,612.33,616.47,4479300
10/26/2010,613.1,621.23,611.03,618.6,5020700
10/25/2010,615.59,624.74,614.97,616.5,6310400
10/22/2010,611.92,614.82,610.05,612.53,4507600
10/21/2010,611.51,616,606,611.99,5835100
10/20/2010,608.14,617.38,607.5,607.98,7043100
10/19/2010,608.85,614.82,602.86,607.83,9166600
10/18/2010,600.55,619.69,600.55,617.71,14182200
10/15/2010,599.27,601.64,591.6,601.45,29619900
10/14/2010,544.18,545.25,537.11,540.93,13254900
10/13/2010,547,547.49,542.33,543.3,6105000
10/12/2010,540.12,545.99,537.79,541.39,7499600
